analysis_set,signal,coverage,n_retained,retained_error_rate,retained_correctness
archehr_test,combined_uncertainty,0.36,36,0.4444444444444444,0.5555555555555556
archehr_test,combined_uncertainty,0.37,37,0.4594594594594595,0.5405405405405406
archehr_test,combined_uncertainty,0.38,38,0.4473684210526316,0.5526315789473684
archehr_test,combined_uncertainty,0.39,39,0.46153846153846156,0.5384615384615384
archehr_test,combined_uncertainty,0.4,40,0.475,0.525
archehr_test,combined_uncertainty,0.41,41,0.4634146341463415,0.5365853658536586
archehr_test,combined_uncertainty,0.42,42,0.47619047619047616,0.5238095238095238
archehr_test,combined_uncertainty,0.43,43,0.47674418604651164,0.5232558139534884
archehr_test,combined_uncertainty,0.44,44,0.4772727272727273,0.5227272727272727
archehr_test,combined_uncertainty,0.45,45,0.4666666666666667,0.5333333333333333
archehr_test,combined_uncertainty,0.46,46,0.4782608695652174,0.5217391304347826
archehr_test,combined_uncertainty,0.47,47,0.48085106382978726,0.5191489361702127
archehr_test,combined_uncertainty,0.48,48,0.48333333333333334,0.5166666666666666
archehr_test,combined_uncertainty,0.49,49,0.4857142857142857,0.5142857142857142
archehr_test,combined_uncertainty,0.5,50,0.488,0.512
archehr_test,combined_uncertainty,0.51,51,0.49019607843137253,0.5098039215686274
archehr_test,combined_uncertainty,0.52,52,0.5,0.5
archehr_test,combined_uncertainty,0.53,53,0.5094339622641509,0.49056603773584906
archehr_test,combined_uncertainty,0.54,54,0.5185185185185185,0.4814814814814815
archehr_test,combined_uncertainty,0.55,55,0.5127272727272727,0.4872727272727273
archehr_test,combined_uncertainty,0.56,56,0.5071428571428571,0.4928571428571429
archehr_test,combined_uncertainty,0.57,57,0.5017543859649123,0.4982456140350877
archehr_test,combined_uncertainty,0.58,58,0.496551724137931,0.503448275862069
archehr_test,combined_uncertainty,0.59,59,0.4915254237288136,0.5084745762711864
archehr_test,combined_uncertainty,0.6,60,0.48333333333333334,0.5166666666666666
archehr_test,combined_uncertainty,0.61,61,0.4918032786885246,0.5081967213114754
archehr_test,combined_uncertainty,0.62,62,0.5,0.5
archehr_test,combined_uncertainty,0.63,63,0.49206349206349204,0.5079365079365079
archehr_test,combined_uncertainty,0.64,64,0.4921875,0.5078125
archehr_test,combined_uncertainty,0.65,65,0.49230769230769234,0.5076923076923077
archehr_test,combined_uncertainty,0.66,66,0.5,0.5
archehr_test,combined_uncertainty,0.67,67,0.5024875621890547,0.49751243781094534
archehr_test,combined_uncertainty,0.68,68,0.5049019607843137,0.4950980392156863
archehr_test,combined_uncertainty,0.69,69,0.5072463768115942,0.49275362318840576
archehr_test,combined_uncertainty,0.7,70,0.5,0.5
