analysis_set,case_id,threshold,answer_uncertainty,n_answer_clusters
archehr_test,archehr_91,0.3,-0.0,1
archehr_test,archehr_92,0.05,0.55583362792012,4
archehr_test,archehr_92,0.1,0.29228525323862886,2
archehr_test,archehr_92,0.15,0.29228525323862886,2
archehr_test,archehr_92,0.2,-0.0,1
archehr_test,archehr_92,0.25,-0.0,1
archehr_test,archehr_92,0.3,-0.0,1
archehr_test,archehr_93,0.05,0.7364516253185087,6
archehr_test,archehr_93,0.1,0.5903089986991943,5
archehr_test,archehr_93,0.15,0.5073786214160918,4
archehr_test,archehr_93,0.2,0.14118174150460758,2
archehr_test,archehr_93,0.25,0.14118174150460758,2
archehr_test,archehr_93,0.3,0.14118174150460758,2
archehr_test,archehr_94,0.05,0.21732201127364886,2
archehr_test,archehr_94,0.1,-0.0,1
archehr_test,archehr_94,0.15,-0.0,1
archehr_test,archehr_94,0.2,-0.0,1
archehr_test,archehr_94,0.25,-0.0,1
archehr_test,archehr_94,0.3,-0.0,1
archehr_test,archehr_95,0.05,0.21732201127364886,2
archehr_test,archehr_95,0.1,0.21732201127364886,2
archehr_test,archehr_95,0.15,0.21732201127364886,2
archehr_test,archehr_95,0.2,0.21732201127364886,2
archehr_test,archehr_95,0.25,0.21732201127364886,2
archehr_test,archehr_95,0.3,-0.0,1
archehr_test,archehr_96,0.05,0.5301029995663982,4
archehr_test,archehr_96,0.1,0.21732201127364886,2
archehr_test,archehr_96,0.15,0.21732201127364886,2
archehr_test,archehr_96,0.2,0.21732201127364886,2
archehr_test,archehr_96,0.25,-0.0,1
archehr_test,archehr_96,0.3,-0.0,1
archehr_test,archehr_97,0.05,0.796657624451305,7
archehr_test,archehr_97,0.1,0.40843137199002016,4
archehr_test,archehr_97,0.15,-0.0,1
archehr_test,archehr_97,0.2,-0.0,1
archehr_test,archehr_97,0.25,-0.0,1
archehr_test,archehr_97,0.3,-0.0,1
archehr_test,archehr_98,0.05,0.5073786214160918,4
archehr_test,archehr_98,0.1,0.4096910013008056,3
archehr_test,archehr_98,0.15,0.30102999566398114,2
archehr_test,archehr_98,0.2,-0.0,1
archehr_test,archehr_98,0.25,-0.0,1
archehr_test,archehr_98,0.3,-0.0,1
archehr_test,archehr_99,0.05,-0.0,1
archehr_test,archehr_99,0.1,-0.0,1
archehr_test,archehr_99,0.15,-0.0,1
archehr_test,archehr_99,0.2,-0.0,1
archehr_test,archehr_99,0.25,-0.0,1
archehr_test,archehr_99,0.3,-0.0,1
archehr_test,archehr_100,0.05,0.38997287335391506,3
archehr_test,archehr_100,0.1,0.14118174150460758,2
archehr_test,archehr_100,0.15,0.14118174150460758,2
archehr_test,archehr_100,0.2,-0.0,1
archehr_test,archehr_100,0.25,-0.0,1
archehr_test,archehr_100,0.3,-0.0,1
archehr_test,archehr_101,0.05,-0.0,1
archehr_test,archehr_101,0.1,-0.0,1
archehr_test,archehr_101,0.15,-0.0,1
archehr_test,archehr_101,0.2,-0.0,1
archehr_test,archehr_101,0.25,-0.0,1
archehr_test,archehr_101,0.3,-0.0,1
archehr_test,archehr_102,0.05,-0.0,1
archehr_test,archehr_102,0.1,-0.0,1
archehr_test,archehr_102,0.15,-0.0,1
archehr_test,archehr_102,0.2,-0.0,1
archehr_test,archehr_102,0.25,-0.0,1
archehr_test,archehr_102,0.3,-0.0,1
archehr_test,archehr_103,0.05,0.5183520069376301,4
archehr_test,archehr_103,0.1,0.14118174150460758,2
archehr_test,archehr_103,0.15,-0.0,1
archehr_test,archehr_103,0.2,-0.0,1
archehr_test,archehr_103,0.25,-0.0,1
archehr_test,archehr_103,0.3,-0.0,1
archehr_test,archehr_104,0.05,0.38997287335391506,3
archehr_test,archehr_104,0.1,0.29228525323862886,2
archehr_test,archehr_104,0.15,-0.0,1
archehr_test,archehr_104,0.2,-0.0,1
archehr_test,archehr_104,0.25,-0.0,1
archehr_test,archehr_104,0.3,-0.0,1
archehr_test,archehr_105,0.05,0.21732201127364886,2
archehr_test,archehr_105,0.1,-0.0,1
archehr_test,archehr_105,0.15,-0.0,1
archehr_test,archehr_105,0.2,-0.0,1
archehr_test,archehr_105,0.25,-0.0,1
archehr_test,archehr_105,0.3,-0.0,1
archehr_test,archehr_106,0.05,0.5903089986991943,5
archehr_test,archehr_106,0.1,0.14118174150460758,2
archehr_test,archehr_106,0.15,-0.0,1
archehr_test,archehr_106,0.2,-0.0,1
archehr_test,archehr_106,0.25,-0.0,1
archehr_test,archehr_106,0.3,-0.0,1
archehr_test,archehr_107,0.05,-0.0,1
archehr_test,archehr_107,0.1,-0.0,1
archehr_test,archehr_107,0.15,-0.0,1
archehr_test,archehr_107,0.2,-0.0,1
archehr_test,archehr_107,0.25,-0.0,1
archehr_test,archehr_107,0.3,-0.0,1
archehr_test,archehr_108,0.05,0.14118174150460758,2
archehr_test,archehr_108,0.1,-0.0,1
archehr_test,archehr_108,0.15,-0.0,1
archehr_test,archehr_108,0.2,-0.0,1
archehr_test,archehr_108,0.25,-0.0,1
archehr_test,archehr_108,0.3,-0.0,1
archehr_test,archehr_109,0.05,-0.0,1
archehr_test,archehr_109,0.1,-0.0,1
archehr_test,archehr_109,0.15,-0.0,1
archehr_test,archehr_109,0.2,-0.0,1
archehr_test,archehr_109,0.25,-0.0,1
archehr_test,archehr_109,0.3,-0.0,1
archehr_test,archehr_110,0.05,0.5903089986991943,5
archehr_test,archehr_110,0.1,0.34822537285722394,3
archehr_test,archehr_110,0.15,0.14118174150460758,2
archehr_test,archehr_110,0.2,0.14118174150460758,2
archehr_test,archehr_110,0.25,-0.0,1
archehr_test,archehr_110,0.3,-0.0,1
archehr_test,archehr_111,0.05,0.4126972515042214,3
archehr_test,archehr_111,0.1,-0.0,1
archehr_test,archehr_111,0.15,-0.0,1
archehr_test,archehr_111,0.2,-0.0,1
archehr_test,archehr_111,0.25,-0.0,1
archehr_test,archehr_111,0.3,-0.0,1
archehr_test,archehr_112,0.05,0.4729032506370176,3
archehr_test,archehr_112,0.1,-0.0,1
archehr_test,archehr_112,0.15,-0.0,1
archehr_test,archehr_112,0.2,-0.0,1
archehr_test,archehr_112,0.25,-0.0,1
archehr_test,archehr_112,0.3,-0.0,1
archehr_test,archehr_113,0.05,-0.0,1
archehr_test,archehr_113,0.1,-0.0,1
archehr_test,archehr_113,0.15,-0.0,1
archehr_test,archehr_113,0.2,-0.0,1
archehr_test,archehr_113,0.25,-0.0,1
archehr_test,archehr_113,0.3,-0.0,1
archehr_test,archehr_114,0.05,0.6387640052032225,5
archehr_test,archehr_114,0.1,0.2652949955741215,2
archehr_test,archehr_114,0.15,0.2652949955741215,2
archehr_test,archehr_114,0.2,-0.0,1
archehr_test,archehr_114,0.25,-0.0,1
archehr_test,archehr_114,0.3,-0.0,1
archehr_test,archehr_115,0.05,0.2652949955741215,2
archehr_test,archehr_115,0.1,-0.0,1
archehr_test,archehr_115,0.15,-0.0,1
archehr_test,archehr_115,0.2,-0.0,1
archehr_test,archehr_115,0.25,-0.0,1
archehr_test,archehr_115,0.3,-0.0,1
archehr_test,archehr_116,0.05,0.14118174150460758,2
archehr_test,archehr_116,0.1,-0.0,1
archehr_test,archehr_116,0.15,-0.0,1
archehr_test,archehr_116,0.2,-0.0,1
archehr_test,archehr_116,0.25,-0.0,1
